product_name,category,sale_date,quantity,unit_price
Paneer Tikka Tacos,Fusion,2026-05-10,15,180.0
Masala Chai Latte,Beverage,2026-05-10,40,120.0
Za'atar Grilled Chicken,Indo-Arabic,2026-05-10,48,250.0
Baklava Cheesecake,Indo-Arabic,2026-05-10,5,210.0
Paneer Tikka Tacos,Fusion,2026-05-11,25,180.0
Masala Chai Latte,Beverage,2026-05-11,22,120.0
Za'atar Grilled Chicken,Indo-Arabic,2026-05-11,35,250.0
Baklava Cheesecake,Indo-Arabic,2026-05-11,8,210.0
Paneer Tikka Tacos,Fusion,2026-05-12,30,180.0
Masala Chai Latte,Beverage,2026-05-12,45,120.0
Za'atar Grilled Chicken,Indo-Arabic,2026-05-12,18,250.0
Baklava Cheesecake,Indo-Arabic,2026-05-12,15,210.0
Paneer Tikka Tacos,Fusion,2026-05-13,45,180.0
Masala Chai Latte,Beverage,2026-05-13,18,120.0
Za'atar Grilled Chicken,Indo-Arabic,2026-05-13,8,250.0
Baklava Cheesecake,Indo-Arabic,2026-05-13,22,210.0
